"ParentDOW","DOW","Year","median.secchi.m","median.littoral.zone.area","median.littoral.zone.proportion"
"010001","01000100",1979,3.2386515695679,1528755.16827524,1
"010001","01000100",1980,3.06588866138268,1528755.16827524,1
"010001","01000100",1981,3.11656400719034,1528755.16827524,1
"010001","01000100",1982,3.1723437674526,1528755.16827524,1
"010001","01000100",1983,2.98651416912894,1528755.16827524,1
"010001","01000100",1984,2.8384319272215,1401690.83878929,0.916883794002604
"010001","01000100",1985,2.6788518679207,1248297.86492028,0.816545311391242
"010001","01000100",1986,2.61347190002237,1203690.64204886,0.787366523448536
"010001","01000100",1987,2.1318260752269,794763.868019041,0.519876488081282
"010001","01000100",1988,2.02215218609346,723974.629318175,0.473571337217438
"010001","01000100",1989,2.06291587487732,750520.619351167,0.49093578548481
"010001","01000100",1990,1.78832823143658,560508.76360066,0.366643904290464
"010001","01000100",1991,1.49550799293916,452125.980500141,0.295747801794996
"010001","01000100",1992,1.53400921852642,462510.201150524,0.302540400679289
"010001","01000100",1993,1.47613727999947,446901.477792685,0.292330313621693
"010001","01000100",1994,1.43234843583495,435597.213992181,0.284935889690975
"010001","01000100",1995,1.50665798682747,455133.261307975,0.297714945305115
"010001","01000100",1996,1.67693378808076,506774.737098639,0.331495027860078
"010001","01000100",1997,1.83113447726681,588480.989015281,0.384941291599499
"010001","01000100",1998,1.7358860397198,534329.069186358,0.349519059869602
"010001","01000100",1999,1.93184237500253,660204.263414535,0.431857420413097
"010001","01000100",2000,1.86052107927754,609438.276467851,0.398650018730878
"010001","01000100",2001,1.78959295148052,561140.125166339,0.367056894924139
"010001","01000100",2002,1.74720453092328,539979.37919892,0.353215080089071
"010001","01000100",2003,1.69330702576264,513073.176986409,0.335615007316878
"010001","01000100",2004,1.82326180843994,582866.533027372,0.381268724464866
"010001","01000100",2005,1.80919539182069,572834.95685502,0.374706799847682
"010001","01000100",2006,1.95548345394544,676943.283222216,0.44280686487291
"010001","01000100",2007,1.98510032834254,697913.453338891,0.456524018902441
"010001","01000100",2008,2.336355752822,952966.779148185,0.623361280422249
"010001","01000100",2009,2.18213690810378,829463.58209862,0.542574507227623
"010001","01000100",2010,1.75506704322846,543904.428147863,0.355782560500843
"010001","01000100",2011,1.68371127138349,508983.653280669,0.332939939529304
"010001","01000100",2012,1.25992445618229,392366.666451834,0.256657622223777
"010001","01000100",2013,1.46995894366439,445235.109858232,0.291240297398668
"010001","01000100",2014,1.52096316534336,458991.531476943,0.300238743915275
"010001","01000100",2015,1.50391906977103,454394.544069151,0.297231730429278
"010001","01000100",2016,1.51788943751452,458162.511945563,0.299696459873603
"010001","01000100",2017,1.51544301393781,457502.683541732,0.299264848313083
"010001","01000100",2018,1.41210924247995,430475.709120896,0.2815857751811
"010022","01002200",1979,1.99492762599988,881874.211218944,0.894306214625736
"010022","01002200",1980,2.04896047438212,899314.825424675,0.911992693573245
"010022","01002200",1981,2.09199217230002,913204.510393612,0.926078184937988
"010022","01002200",1982,2.11224661376213,919742.198301425,0.93270803628284
"010022","01002200",1983,2.04840480507266,899135.467601751,0.911810807297808
"010022","01002200",1984,2.00449931833083,884963.742832364,0.89743930014634
"010022","01002200",1985,1.99742453204767,882680.157534775,0.895123522570263
"010022","01002200",1986,2.03995531681053,896408.15876226,0.909045050897029
"010022","01002200",1987,1.94957900777816,867236.675370885,0.879462329739214
"010022","01002200",1988,1.99064390714547,880491.521056526,0.892904032331003
"010022","01002200",1989,2.03051997819246,893362.639126242,0.905956597801784
"010022","01002200",1990,1.94282354555399,865056.160851276,0.877251075955896
"010022","01002200",1991,1.81589753582829,824087.238527607,0.8357046043906
"010022","01002200",1992,1.89177529749125,848578.909938234,0.860541541076638
"010022","01002200",1993,1.8978448659128,850538.033034737,0.862528282426062
"010022","01002200",1994,1.88452238937062,846237.830831934,0.858167459187113
"010022","01002200",1995,1.88608135936289,846741.032032824,0.858677754142378
"010022","01002200",1996,1.87587122005659,843445.423787851,0.855335686875917
"010022","01002200",1997,1.87041431610029,841684.05529611,0.853549487927845
"010022","01002200",1998,1.76144757687975,806511.990211596,0.817881593361767
"010022","01002200",1999,1.86447254740187,839766.183137386,0.851604579041085
"010022","01002200",2000,1.9076621706436,853706.842924949,0.865741763829343
"010022","01002200",2001,1.98415680304791,878397.626633682,0.890780619749824
"010022","01002200",2002,2.09660094688006,914692.121389853,0.927586767162027
"010022","01002200",2003,2.15027938963169,932018.341258419,0.945157239126519
"010022","01002200",2004,2.22931852126906,957530.43331567,0.971028981586668
"010022","01002200",2005,2.13713354474814,927775.151867393,0.940854232423348
"010022","01002200",2006,2.12108343843992,922594.530810692,0.935600578843633
"010022","01002200",2007,2.08128413592458,909748.191933332,0.922573141883739
"010022","01002200",2008,2.21262701932985,952142.783866272,0.965565381082734
"010022","01002200",2009,2.16620387333315,937158.414102585,0.950369772875309
"010022","01002200",2010,1.88242282766198,845560.138523312,0.857480213278916
"010022","01002200",2011,1.80296097337297,819911.60089815,0.831470101743236
"010022","01002200",2012,1.44773025808132,701590.719044262,0.711481220544783
"010022","01002200",2013,1.46567411203072,707656.232337162,0.717632240909964
"010022","01002200",2014,1.39726974483297,684533.685770503,0.694183729966488
"010022","01002200",2015,1.32592490511504,660417.179087534,0.669727246799993
"010022","01002200",2016,1.33483138565014,663427.813047828,0.672780322427335
"010022","01002200",2017,1.31776098462945,657657.550728592,0.666928715263338
"010022","01002200",2018,1.25831571559098,637563.424317977,0.646551316879447
"010023","01002300",1979,3.15166982186426,2239953.78830263,1
"010023","01002300",1980,3.00920142209934,2239953.78830263,1
"010023","01002300",1981,3.08200877680163,2239953.78830263,1
"010023","01002300",1982,3.29960410281121,2239953.78830263,1
"010023","01002300",1983,3.29424966146569,2239953.78830263,1
"010023","01002300",1984,3.39870203833589,2239953.78830263,1
"010023","01002300",1985,3.54393454918217,2239953.78830263,1
"010023","01002300",1986,3.84518404905548,2239953.78830263,1
"010023","01002300",1987,3.76495553377709,2239953.78830263,1
"010023","01002300",1988,4.08065457311008,2239953.78830263,1
"010023","01002300",1989,4.57444471455575,2239953.78830263,1
"010023","01002300",1990,4.43903375818995,2239953.78830263,1
"010023","01002300",1991,4.08881954766961,2239953.78830263,1
"010023","01002300",1992,4.60321935226493,2239953.78830263,1
"010023","01002300",1993,4.54104122240299,2239953.78830263,1
"010023","01002300",1994,4.28981987802106,2239953.78830263,1
"010023","01002300",1995,4.29525200384672,2239953.78830263,1
"010023","01002300",1996,4.44381690741357,2239953.78830263,1
"010023","01002300",1997,4.38659927465721,2239953.78830263,1
"010023","01002300",1998,3.89641828319414,2239953.78830263,1
"010023","01002300",1999,4.19300017801355,2239953.78830263,1
"010023","01002300",2000,4.1802946971954,2239953.78830263,1
"010023","01002300",2001,4.19283697099188,2239953.78830263,1
"010023","01002300",2002,4.32724848706707,2239953.78830263,1
"010023","01002300",2003,4.24828380088035,2239953.78830263,1
"010023","01002300",2004,4.51642920292329,2239953.78830263,1
"010023","01002300",2005,4.00530678500232,2239953.78830263,1
"010023","01002300",2006,3.8872807376842,2239953.78830263,1
"010023","01002300",2007,3.74119308677257,2239953.78830263,1
"010023","01002300",2008,4.3484982895635,2239953.78830263,1
"010023","01002300",2009,4.45370070850273,2239953.78830263,1
"010023","01002300",2010,4.00006874715653,2239953.78830263,1
