"","site_id","parameter","z_score","p_value","L95","U95","Sensslope"
"1","nhdhr_{00A0B20D-B53E-4189-AE14-461AAC64BD53}","df2$mean_bot_aug",1.14876326930223,0.250653608953841,-0.0147680184948456,0.045656035376463,0.0179074958168243
"2","nhdhr_{02510024-2C0B-4F00-B866-7FBA96AE1EB4}","df2$mean_bot_aug",2.21082742394013,0.0270477899957945,0.00776633024018584,0.0825668386694076,0.0443356885838442
"3","nhdhr_{0416B77B-D03F-4C5B-B8A1-EAE9DA39A087}","df2$mean_bot_aug",2.12412830927581,0.0336594158866158,0.00195079774116172,0.0421910485770887,0.0241389412942965
"4","nhdhr_{04CE6E62-AFE9-4219-BA2E-77AD09FE58D6}","df2$mean_bot_aug",0.541869466651993,0.587908432210903,-0.0247879000756903,0.0474767726087597,0.0114668066101501
"5","nhdhr_{060CC69F-5D91-4F31-A30D-79A0723427C7}","df2$mean_bot_aug",1.92905530128109,0.0537239972632164,-8.89655564680902e-05,0.098483674503442,0.0468221711164203
"6","nhdhr_{06F93A13-5AFB-4691-8F39-5140F8986BFE}","df2$mean_bot_aug",2.73102211192604,0.0063138235301665,0.0322071680575927,0.184597530059303,0.0941680807422525
"7","nhdhr_{084154BD-6B47-4ED4-9CDD-022247E463A5}","df2$mean_bot_aug",0.0650243359982392,0.9481546239301,-0.0273017495466975,0.0297272920224977,0.00151601350902336
"8","nhdhr_{086242B0-7484-407B-8867-7F007A43617E}","df2$mean_bot_aug",0.498519909319834,0.618117640013501,-0.0255061625542007,0.0408935005019868,0.00926996290331726
"9","nhdhr_{08C38C24-CCB1-4DDB-97DB-8B8973AEE01D}","df2$mean_bot_aug",-0.541869466651993,0.587908432210903,-0.028192915376777,0.0169881666802995,-0.00554726466257877
"10","nhdhr_{090a66ed-aef2-417d-b8a4-59331c4bcd11}","df2$mean_bot_aug",1.90738052261502,0.0564713297319878,-0.00265271388556013,0.145336946558353,0.0741819652507275
"11","nhdhr_{0a9b3608-e2c1-4a37-b805-1d08b46a0bb2}","df2$mean_bot_aug",2.42757521060093,0.0152001348651698,0.00868461080427818,0.053806461037609,0.0279060022414345
"12","nhdhr_{0C90F6A5-1D72-4E40-88D9-60F76EFFFDDF}","df2$mean_bot_aug",1.32216149863086,0.186114378719154,-0.0426522686585386,0.177158067261856,0.0669217423375066
"13","nhdhr_{0E3A2A48-E317-4B7C-8EDF-CD035A407E7F}","df2$mean_bot_aug",2.75269689059212,0.00591065927764996,0.015005275704299,0.0697935652199562,0.0470435675773111
"14","nhdhr_{1034B77E-FCF9-47B4-826E-DACCE70F6D7A}","df2$mean_bot_aug",1.1704380479683,0.241824731646552,-0.00984446133432438,0.0460721135702494,0.0138294924646398
"15","nhdhr_{1095B58E-6CA3-4FE8-A75E-3B4AC9133E32}","df2$mean_bot_aug",0,1,-0.0330782128508198,0.0294751338449177,-7.61832164456039e-05
"16","nhdhr_{117A9949-40FA-41DB-8E98-9479A35D2918}","df2$mean_bot_aug",0.866991146643189,0.385946860597117,-0.0144927259017175,0.0380305827030626,0.0116775197770969
"17","nhdhr_{12C89B8D-1D97-4B56-96AC-463C0703B56C}","df2$mean_bot_aug",-1.1704380479683,0.241824731646552,-0.0293028710435794,0.00767174116967221,-0.0106552636896925
"18","nhdhr_{13237FA1-15B6-42E9-88A3-64128BECBF9E}","df2$mean_bot_aug",0.78029203197887,0.435219001789256,-0.0184317100103453,0.0418656957442063,0.0124795508631186
"19","nhdhr_{139391AB-F7E2-401F-8364-F962B61F9E14}","df2$mean_bot_aug",0.411820794655515,0.680470778532187,-0.0247172344866131,0.0364576325661871,0.00777533586148861
"20","nhdhr_{13c737fd-517c-4f34-b813-79a31e833683}","df2$mean_bot_aug",1.64728317862206,0.0994998537797868,-0.00462041158705653,0.0752031422601274,0.0331844867430665
"21","nhdhr_{1434901E-3DA4-4715-8512-19FE644D0BFD}","df2$mean_bot_aug",1.12708849063615,0.259705069002989,-0.0116217923921054,0.0441461103736632,0.0145814402410958
"22","nhdhr_{157F98D6-ABF3-4730-9903-4BBEA2384E56}","df2$mean_bot_aug",0.75861725331279,0.448081548716583,-0.0214253721178549,0.0458215616253673,0.0129544473531244
"23","nhdhr_{1632D9E4-C39B-4D0F-855C-8746A6E8B419}","df2$mean_bot_aug",1.6039336212899,0.108728684885018,-0.00627830717134915,0.0491139107044951,0.0202996849487266
"24","nhdhr_{17D4717F-89DA-4C2E-882C-06284A940B94}","df2$mean_bot_aug",0.476845130653754,0.633472406085693,-0.0222902630909842,0.0461358284762005,0.0105068926783629
"25","nhdhr_{1ACF8CC0-1EC2-4B39-A76F-3B3502142821}","df2$mean_bot_aug",0.520194687985913,0.602927887352437,-0.0488716547872722,0.0770091789122262,0.0165923752884165
"26","nhdhr_{1AD8863B-AF7B-488B-827E-C8274B9487F0}","df2$mean_bot_aug",0.325121679991196,0.745088981270939,-0.0320724729166231,0.0402311504663927,0.0059817919334666
"27","nhdhr_{1DD8E60C-CDEA-421C-9135-1B1AEC740538}","df2$mean_bot_aug",0.671918138648471,0.501635812274578,-0.0234893502984187,0.041982004203363,0.0103724319997253
"28","nhdhr_{20e52ba4-e5d2-4baa-b77e-7d67bce868dc}","df2$mean_bot_aug",1.66895795728814,0.0951257121931636,-0.00447734095000859,0.0955566458440968,0.0466518559736408
"29","nhdhr_{218860F6-696D-49C0-A4DF-AD06CCDF3077}","df2$mean_bot_aug",1.23546238396654,0.216658467711529,-0.0275738447084791,0.108605100470316,0.0429147178707887
"30","nhdhr_{21D3A37A-951D-4F94-ADA3-D8823DAECCE9}","df2$mean_bot_aug",2.60097343992957,0.00929596507882017,0.011242477448724,0.0686140092113073,0.0436073149628892
"31","nhdhr_{244b7c49-b604-45fa-950a-7924b157370d}","df2$mean_bot_aug",1.32216149863086,0.186114378719154,-0.0209503735789349,0.0842963320541372,0.0301340224573626
"32","nhdhr_{251FD68D-76A2-4BA6-B5DC-6B3BCD6FEEDF}","df2$mean_bot_aug",0.78029203197887,0.435219001789256,-0.0189478158982307,0.0412902926000616,0.0134493655392715
"33","nhdhr_{281D28BC-5CA5-4391-A17C-04CF0EF71935}","df2$mean_bot_aug",0.541869466651993,0.587908432210903,-0.032386530140957,0.0607055727371481,0.0116327341611787
"34","nhdhr_{28DEBA72-229A-4E85-8BDB-06869B562F8E}","df2$mean_bot_aug",0.888665925309268,0.374182649106997,-0.0222769455772123,0.0447019466496672,0.0138850309971864
"35","nhdhr_{28f2e7d4-ede1-46f3-9913-e7de0c9e1008}","df2$mean_bot_aug",1.84235618661678,0.0654230661046905,-0.00780445873182324,0.158864018215372,0.0853969383006503
"36","nhdhr_{2A4767FD-52D8-4A44-8602-9513A8B4097E}","df2$mean_bot_aug",1.47388494929342,0.140512570749974,-0.0059843255910118,0.0452887945543021,0.0206237268784399
"37","nhdhr_{2B0E3504-D6DF-4C31-8F6C-6FC83A3ACE48}","df2$mean_bot_aug",1.4955597279595,0.13476842433139,-0.00859254441973611,0.0836493549181308,0.0427497550940181
"38","nhdhr_{2B16E533-E2CF-49F4-A1BE-CD65378EDEB4}","df2$mean_bot_aug",0.346796458657275,0.728744237806251,-0.0536840756229893,0.0894960119522392,0.0152214594114564
"39","nhdhr_{2BB8401C-3C56-4F1F-8B90-0B76836D183B}","df2$mean_bot_aug",1.36551105596302,0.172092480590194,-0.00682774437981366,0.0449122965866755,0.0178887317090092
"40","nhdhr_{2D616E50-968C-49A6-90A1-D860FF7B2408}","df2$mean_bot_aug",2.96944467725292,0.00298338526728706,0.0249259927240431,0.104764248953519,0.0615245573013657
"41","nhdhr_{2F5FAE4A-4A83-4FB0-B68D-E0740E1D19F0}","df2$mean_bot_aug",2.25417698127229,0.0241850362950844,0.00391411132919946,0.0689693314947337,0.0311194088984067
"42","nhdhr_{2FA9EC6F-4AA9-4F1F-89D0-D55A623D0087}","df2$mean_bot_aug",1.99407963727933,0.046143352163766,0.000599138224559626,0.067821453920644,0.0324604867549778
"43","nhdhr_{2FC84796-74FC-48D4-939A-6F1DD54C30AA}","df2$mean_bot_aug",2.21082742394013,0.0270477899957945,0.0143340737911199,0.21059732819622,0.104581614455584
"44","nhdhr_{32E8B07B-1623-4A70-975A-4E126019059F}","df2$mean_bot_aug",1.06206415463791,0.288206561590015,-0.0144795327287603,0.0493528908890299,0.0216951280410502
"45","nhdhr_{34AD3558-83A8-4B48-B178-6CB5805C2C24}","df2$mean_bot_aug",0.845316367977109,0.39793422470267,-0.0133705952536983,0.0448532416012783,0.0140367212830435
"46","nhdhr_{34C90CE4-F2EB-4622-B846-6235E3E866FA}","df2$mean_bot_aug",1.69063273595422,0.0909069683610604,-0.0152635673363245,0.1792772565646,0.0696170927358586
"47","nhdhr_{36B3DE9F-A764-400C-8B2F-6A203BBB2D46}","df2$mean_bot_aug",1.40886061329518,0.158876387923079,-0.0195463534657154,0.0935876285122532,0.0287837942271123
